uploaded_at,source_file,student_name,student_id,department,company_name,role_applied,round_name,rating,category,feedback_text,raw_data
2026-08-08T18:46:17.555540Z,mixed_data.csv,Aarav Sharma,CSE21001,CSE,,,,4,Technical Aptitude,Aptitude and problem-solving section had very clear logic puzzles. Time limit felt tight for handwritten syntax logic.,"{""student_name"": ""Aarav Sharma"", ""student_id"": ""CSE21001"", ""department"": ""CSE"", ""company_name"": ""Zoho"", ""round_name"": ""Basic Programming & Aptitude"", ""rating"": ""4"", ""category"": ""Technical Aptitude"", ""feedback"": ""Aptitude and problem-solving section had very clear logic puzzles. Time limit felt tight for handwritten syntax logic.""}"
2026-08-08T18:46:17.555606Z,mixed_data.csv,Aarav Sharma,CSE21001,CSE,,,,5,Technical Depth,Interviewer provided dynamic feedback as edge cases were tested live. Needed a bit more time to optimize memory complexity.,"{""student_name"": ""Aarav Sharma"", ""student_id"": ""CSE21001"", ""department"": ""CSE"", ""company_name"": ""Zoho"", ""round_name"": ""Advanced Data Structures"", ""rating"": ""5"", ""category"": ""Technical Depth"", ""feedback"": ""Interviewer provided dynamic feedback as edge cases were tested live. Needed a bit more time to optimize memory complexity.""}"
2026-08-08T18:46:17.555649Z,mixed_data.csv,Aarav Sharma,CSE21001,CSE,,,,4,Practical Assessment,Loved the hands-on approach of building a full CLI app module. Felt a bit rushed when implementing multi-user roles.,"{""student_name"": ""Aarav Sharma"", ""student_id"": ""CSE21001"", ""department"": ""CSE"", ""company_name"": ""Zoho"", ""round_name"": ""Application Development"", ""rating"": ""4"", ""category"": ""Practical Assessment"", ""feedback"": ""Loved the hands-on approach of building a full CLI app module. Felt a bit rushed when implementing multi-user roles.""}"
2026-08-08T18:46:17.555687Z,mixed_data.csv,Aarav Sharma,CSE21001,CSE,,,,5,Culture & Communication,Interviewer was exceptionally welcoming and explained Zoho workplace culture well.,"{""student_name"": ""Aarav Sharma"", ""student_id"": ""CSE21001"", ""department"": ""CSE"", ""company_name"": ""Zoho"", ""round_name"": ""General & Technical HR"", ""rating"": ""5"", ""category"": ""Culture & Communication"", ""feedback"": ""Interviewer was exceptionally welcoming and explained Zoho workplace culture well.""}"
2026-08-08T18:46:17.555719Z,mixed_data.csv,Priya Patel,IT21001,IT,,,,5,Technical Aptitude,Great coding platform experience and very clear instructions provided before starting.,"{""student_name"": ""Priya Patel"", ""student_id"": ""IT21001"", ""department"": ""IT"", ""company_name"": ""Zoho"", ""round_name"": ""Basic Programming & Aptitude"", ""rating"": ""5"", ""category"": ""Technical Aptitude"", ""feedback"": ""Great coding platform experience and very clear instructions provided before starting.""}"
2026-08-08T18:46:17.555750Z,mixed_data.csv,Priya Patel,IT21001,IT,,,,4,Technical Depth,Strong focus on graph traversal algorithms and dynamic programming trade-offs.,"{""student_name"": ""Priya Patel"", ""student_id"": ""IT21001"", ""department"": ""IT"", ""company_name"": ""Zoho"", ""round_name"": ""Advanced Data Structures"", ""rating"": ""4"", ""category"": ""Technical Depth"", ""feedback"": ""Strong focus on graph traversal algorithms and dynamic programming trade-offs.""}"
2026-08-08T18:46:17.555780Z,mixed_data.csv,Priya Patel,IT21001,IT,,,,5,Practical Assessment,Built a smooth inventory management CLI script. Great guidance from the mentor during edge testing.,"{""student_name"": ""Priya Patel"", ""student_id"": ""IT21001"", ""department"": ""IT"", ""company_name"": ""Zoho"", ""round_name"": ""Application Development"", ""rating"": ""5"", ""category"": ""Practical Assessment"", ""feedback"": ""Built a smooth inventory management CLI script. Great guidance from the mentor during edge testing.""}"
2026-08-08T18:46:17.555812Z,mixed_data.csv,Priya Patel,IT21001,IT,,,,5,Culture & Communication,Very comfortable conversation about career growth and rotational opportunities.,"{""student_name"": ""Priya Patel"", ""student_id"": ""IT21001"", ""department"": ""IT"", ""company_name"": ""Zoho"", ""round_name"": ""General & Technical HR"", ""rating"": ""5"", ""category"": ""Culture & Communication"", ""feedback"": ""Very comfortable conversation about career growth and rotational opportunities.""}"
2026-08-08T18:46:17.555841Z,mixed_data.csv,Rohan Verma,ECE21001,ECE,,,,3,Technical Aptitude,Section was heavy on core C pointer arithmetic which took extra time to debug.,"{""student_name"": ""Rohan Verma"", ""student_id"": ""ECE21001"", ""department"": ""ECE"", ""company_name"": ""Zoho"", ""round_name"": ""Basic Programming & Aptitude"", ""rating"": ""3"", ""category"": ""Technical Aptitude"", ""feedback"": ""Section was heavy on core C pointer arithmetic which took extra time to debug.""}"
2026-08-08T18:46:17.555871Z,mixed_data.csv,Rohan Verma,ECE21001,ECE,,,,4,Technical Depth,Interviewer was encouraging and guided me well through binary tree balancing logic.,"{""student_name"": ""Rohan Verma"", ""student_id"": ""ECE21001"", ""department"": ""ECE"", ""company_name"": ""Zoho"", ""round_name"": ""Advanced Data Structures"", ""rating"": ""4"", ""category"": ""Technical Depth"", ""feedback"": ""Interviewer was encouraging and guided me well through binary tree balancing logic.""}"
